"months","years","profit_sum"
"February",2019,1366880
"September",2019,1892600
"December",2019,2048780
"May",2018,2196950
"October",2019,2220870
"January",2018,2259610
"August",2018,2432230
"March",2019,2530620
"May",2019,2573040
"April",2017,2574380
"June",2019,2669080
"November",2019,2675610
"June",2017,2686370
"November",2018,2731710
"July",2018,2799260
"December",2017,2836350
"April",2019,2851470
"February",2017,2912440
"July",2019,2945340
"August",2019,2982800
"October",2018,3015770
"July",2017,3042410
"September",2018,3115230
"April",2018,3147980
"January",2017,3200220
"March",2018,3240830
"January",2019,3263160
"March",2017,3294680
"August",2017,3315910
"November",2017,3413010
"June",2018,3472990
"October",2017,3530460
"September",2017,3694830
"December",2018,3902160
"May",2017,4002260
"February",2018,4749130
